설립별,구별,학교명,학교 주소 
공립,대덕구,대전대청중학교,대전광역시 대덕구 신탄진동로 81(신탄진동. 대청중학교)
공립,대덕구,대전대화중학교,대전광역시 대덕구 대오길 9(오정동. 대화중학교)
공립,대덕구,대전매봉중학교,대전광역시 대덕구 선비마을로 165(송촌동.대전매봉중학교)
공립,대덕구,대전법동중학교,대전광역시 대덕구 쌍청당로 55(법동)
공립,대덕구,대전송촌중학교,대전광역시 대덕구 계족산로 110(송촌동)
공립,대덕구,대전용전중학교,대전광역시 대덕구 한밭대로1146번길 46. 대전용전중학교 (중리동)
공립,대덕구,신탄중앙중학교,대전광역시 대덕구 덕암로 233. 24 (덕암동)
공립,대덕구,오정중학교,대전광역시 대덕구 한남로150번길 135(오정동. 오정중학교)
공립,대덕구,중리중학교,대전광역시 대덕구 중리동로 85(중리동. 대전중리중학교)
공립,대덕구,회덕중학교,대전광역시 대덕구 신탄진로218번길 22(와동. 대전회덕중학교)
사립,대덕구,대전경덕중학교,대전광역시 대덕구 동산초교로63번길 12(오정동)
사립,대덕구,신탄진중학교,대전광역시 대덕구 석봉로 15. 신탄진중학교 (석봉동)
공립,동구,대전가양중학교,대전광역시 동구 비래서로62번길 100(가양동. 대전가양중학교)
공립,동구,대전가오중학교,대전광역시 동구 은어송로 79(가오동. 대전가오중학교)
공립,동구,대전용운중학교,대전광역시 동구 용운로 208(용운동. 용운중학교)
공립,동구,대전은어송중학교,대전광역시 동구 동구청로 26(대성동. 대전은어송중학교)
공립,동구,동대전중학교,대전광역시 동구 충정로 73-6. 동대전중학교(가양동. 동대전중학교)
공립,동구,동신중학교,대전광역시 동구 동부로 56-22(판암동. 동신중학교)
공립,동구,충남중학교,대전광역시 동구 계족로 123(신흥동. 충남중학교)
공립,동구,한밭여자중학교,대전광역시 동구 동대전로110번길 74-57. 한밭여자중학교 (대동)
공립,동구,한밭중학교,대전광역시 동구 태전로 67(삼성동)
사립,동구,대전대성여자중학교,대전광역시 동구 대성2길 20(가양동)
사립,동구,보문중학교,대전광역시 동구 우암로 57(삼성동. 보문중학교)
사립,동구,우송중학교,대전광역시 동구 동대전로131번길 53(자양동) 우송중학교
공립,중구,대전글꽃중학교,대전광역시 중구 계룡로918번길 103(문화동. 대전글꽃중학교)
공립,중구,대전대문중학교,대전광역시 중구 송리로 33(문화동. 대전대문중학교)
공립,중구,대전문화여자중학교,대전광역시 중구 문화로218번길 63. 대전문화여자중학교 (문화동)
공립,중구,대전여자중학교,대전광역시 중구 보문로230번길 69. 대전여자중학교 (대흥동)
공립,중구,대전중학교,대전광역시 중구 수도산로 9. 대전중학교 (대흥동. 대전중학교)
공립,중구,대전태평중학교,대전광역시 중구 수침로111번길 12(태평동)
공립,중구,충남여자중학교,대전광역시 중구 동서대로 1368(목동.충남여자중학교)
사립,중구,대전대성중학교,대전광역시 중구 목동로 23. (목동.대성중학교)
사립,중구,대전동산중학교,대전광역시 중구 문화로 183(문화동)
사립,중구,대전신일중학교,대전광역시 중구 부사로32번길 27(부사동.대전신일중학교)
사립,중구,대전중앙중학교,대전광역시 중구 대종로 634(중촌동)
사립,중구,동명중학교,대전광역시 중구 사득로54번길 29. 동명중학교 (석교동)
사립,중구,청란여자중학교,대전광역시 중구 보문로95번길 40. 청란여자중학교 (부사동)
사립,중구,호수돈여자중학교,대전광역시 중구 선화로 50(용두동.호수돈여자중.고등학교)
공립,서구,가수원중학교,대전광역시 서구 가수원로 26(가수원동)
공립,서구,갈마중학교,대전광역시 서구 계룡로326번길 138(갈마동.갈마중학교)
공립,서구,기성중학교,대전광역시 서구 장안로 54.(흑석동)
공립,서구,대전갑천중학교,대전광역시 서구 월평동로 80(월평동. 갑천중학교)
공립,서구,대전관저중학교,대전광역시 서구 관저동로 143(관저동. 관저중학교)
공립,서구,대전괴정중학교,대전광역시 서구 가장로 15(괴정동.대전괴정중학교)
공립,서구,대전구봉중학교,대전광역시 서구 관저서로 86(관저동. 대전구봉중학교)
공립,서구,대전남선중학교,대전광역시 서구 월평북로 41(월평동. 남선중학교)
공립,서구,대전내동중학교,대전광역시 서구 배재로 263(변동)
공립,서구,대전느리울중학교,대전광역시 서구 관저중로64번길 84(관저동)
공립,서구,대전도마중학교,대전광역시 서구 도솔2길 22(도마동. 대전도마중학교)
공립,서구,대전도안중학교,대전광역시 서구 원도안로 160(도안동. 대전도안중학교)
공립,서구,대전둔산중학교,대전광역시 서구 갈마역로25번길 70(갈마동) 대전둔산중학교
공립,서구,대전둔원중학교,대전광역시 서구 괴정로11번길 73(갈마동. 둔원중학교)
공립,서구,대전만년중학교,대전광역시 서구 만년남로 17(만년동. 대전만년중학교)
공립,서구,대전문정중학교,대전광역시 서구 둔산북로 232-11. 대전문정중학교 (둔산동)
공립,서구,대전버드내중학교,대전광역시 서구 유등로 285(도마동)
공립,서구,대전변동중학교,대전광역시 서구 도산로181번길 39(변동)
공립,서구,대전봉산중학교,대전광역시 서구 배재로262번길 60(변동. 봉산중학교)
공립,서구,대전봉우중학교,대전광역시 서구 관저로 102(관저동. 대전봉우중학교)
공립,서구,대전삼천중학교,대전광역시 서구 문정로 271(둔산동)
공립,서구,대전서중학교,대전광역시 서구 동서대로997번길 57(괴정동. 대전서중학교)
공립,서구,대전신계중학교,대전광역시 서구 복수동로 40-30(복수동)
공립,서구,대전월평중학교,대전광역시 서구 월평동로 21(월평동. 월평중학교)
공립,서구,대전정림중학교,대전광역시 서구 괴곡길 70(괴곡동)
공립,서구,대전탄방중학교,대전광역시 서구 문정로 181(둔산동)
사립,서구,대전대신중학교,대전광역시 서구 오량1길 98. 대전대신중학교 (복수동. 대전대신중·고등학교)
사립,서구,대전삼육중학교,대전광역시 서구 도림1길 15(도마동)
사립,서구,동방여자중학교,대전광역시 서구 복수중로 27(복수동.동방여자중학교)
공립,유성구,대덕중학교,대전광역시 유성구 대덕대로 515(가정동)
공립,유성구,대전관평중학교,대전광역시 유성구 테크노4로 132. 대전 관평중학교 (관평동.관평중학교)
공립,유성구,대전노은중학교,대전광역시 유성구 노은동로 104(노은동. 노은중학교)
공립,유성구,대전덕명중학교,대전광역시 유성구 학하중앙로 61. 대전덕명중학교 (덕명동. 대전덕명중학교)
공립,유성구,대전동화중학교,대전광역시 유성구 관평2로 43(관평동)
공립,유성구,대전두리중학교,대전광역시 유성구 와룡로 37(송강동)
공립,유성구,대전둔곡중학교,대전광역시 유성구 과학인재4길 10(둔곡동)
공립,유성구,대전문지중학교,대전광역시 유성구 전민로 53(전민동.  문지중학교)
공립,유성구,대전봉명중학교,대전광역시 유성구 계룡로132번길 71(봉명동. 대전봉명중학교)
공립,유성구,대전새미래중학교,대전광역시 유성구 지족동로 55(지족동)
공립,유성구,대전송강중학교,대전광역시 유성구 와룡로 122(송강동. 송강중학교)
공립,유성구,대전어은중학교,대전광역시 유성구 농대로 56(어은동.대전어은중학교)
공립,유성구,대전외삼중학교,대전광역시 유성구 반석동로 75(반석동. 외삼중학교)
공립,유성구,대전원신흥중학교,대전광역시 유성구 동서대로735번길 20(원신흥동)
공립,유성구,대전자운중학교,대전광역시 유성구 자운로97번길 356(신봉동. 자운중학교)
공립,유성구,대전장대중학교,대전광역시 유성구 문화원로 26(장대동.대전장대중학교)
공립,유성구,대전전민중학교,대전광역시 유성구 엑스포로466번길 97(전민동.전민중학교)
공립,유성구,대전지족중학교,대전광역시 유성구 노은동로 193(지족동)
공립,유성구,대전체육중학교,대전광역시 유성구 원신흥로40번길 6(원신흥동. 대전체육중고등학교)
공립,유성구,대전하기중학교,대전광역시 유성구 송림로48번길 6-30. 대전하기중학교 (하기동. 대전하기중학교)
공립,유성구,유성중학교,대전광역시 유성구 상대로 33(상대동. 유성중학교)
공립,유성구,진잠중학교,대전광역시 유성구 진잠로 60-23(원내동. 진잠중학교)
사립,유성구,성덕중학교,대전광역시 유성구 신성로 19(신성동. 성덕중학교)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
