설립별,구별,학교명,학교 주소 
공립,대덕구,대전대양초등학교,대전광역시 대덕구 송촌로 67(송촌동. 대전대양초등학교)
공립,대덕구,대전대화초등학교,대전광역시 대덕구 대화로 242-36. 대전대화초등학교 (대화동)
공립,대덕구,대전동도초등학교,대전광역시 대덕구 한남로150번길 27(오정동. 동도초등학교)
공립,대덕구,대전동산초등학교,대전광역시 대덕구 동산초교로63번길 50. 대전동산초등학교 (오정동)
공립,대덕구,대전매봉초등학교,대전광역시 대덕구 선비마을로 155(송촌동. 대전매봉초등학교)
공립,대덕구,대전목상초등학교,대전광역시 대덕구 대덕대로1486번길 117(목상동. 대전목상초등학교)
공립,대덕구,대전법동초등학교,대전광역시 대덕구 계족로664번길 74(법동.대전법동초등학교)
공립,대덕구,대전비래초등학교,대전광역시 대덕구 우암로492번길 65(비래동. 대전비래초등학교)
공립,대덕구,대전새여울초등학교,대전광역시 대덕구 대덕대로 1585. 대전새여울초등학교
공립,대덕구,대전석봉초등학교,대전광역시 대덕구 신탄진남로 20. 대전석봉초등학교 (신탄진동. 대전석봉초등학교)
공립,대덕구,대전송촌초등학교,대전광역시 대덕구 동춘당로54번길 35(송촌동. 대전송촌초등학교)
공립,대덕구,대전양지초등학교,대전광역시 대덕구 쌍청당로 45(법동)
공립,대덕구,대전중리초등학교,대전광역시 대덕구 중리북로 20(법동)
공립,대덕구,대전중원초등학교,대전광역시 대덕구 중리로64번길 45(중리동)
공립,대덕구,대전화정초등학교,대전광역시 대덕구 한밭대로1024번길 20(오정동. 화정초등학교)
공립,대덕구,새일초등학교,대전광역시 대덕구 덕암로125번길 15(덕암동.새일초등학교)
공립,대덕구,신탄진용정초등학교,대전광역시 대덕구 대청로 65. 신탄진용정초등학교 (신탄진동)
공립,대덕구,신탄진초등학교,대전광역시 대덕구 석봉로3번길 50(석봉동. 신탄진초등학교)
공립,대덕구,와동초등학교,대전광역시 대덕구 신탄진로 189(신대동. 와동초등학교)
공립,대덕구,장동초등학교,대전광역시 대덕구 장동로 223-37(장동. 대전장동초등학교)
공립,대덕구,회덕초등학교,대전광역시 대덕구 대전로 1350(읍내동)
공립,동구,대전가양초등학교,대전광역시 동구 가양로 61(가양동. 대전가양초등학교)
공립,동구,대전가오초등학교,대전광역시 동구 신기로 112. 가오초등학교 (가오동)
공립,동구,대전대동초등학교,대전광역시 동구 대동초등3길 21(대동. 대전대동초등학교)
공립,동구,대전대룡초등학교,대전광역시 동구 백룡로 123(용운동. 대전대룡초등학교)
공립,동구,대전대암초등학교,대전광역시 동구 동부로 55-61(판암동. 대전대암초등학교)
공립,동구,대전동광초등학교,대전광역시 동구 백룡로11번길 20. 대전동광초등학교 (자양동.대전동광초등학교)
공립,동구,대전동서초등학교,대전광역시 동구 동서대로 1522(삼성동. 대전동서초등학교)
공립,동구,대전삼성초등학교,대전광역시 동구 대전로867번길 12(삼성동)
공립,동구,대전성남초등학교,대전광역시 동구 성남로32번길 5(성남동. 대전성남초등학교)
