연번,구분,구,구역명,유형,주소,면적_m2,세대수,추진현황,추진일자,촉진지구,추진지구,비고,상태,단계_순서,통학영향_임박도,전체주소,lat,lon,지오코딩방식,오류
1,재개발,동구,대동4·8,,대동 405-7,137835.8,2213.0,사업시행인가,24.12.13.,False,,,진행,5,3_사업시행,대전광역시 동구 대동 405-7,36.33241970494448,127.44683255875063,parcel,
2,재개발,동구,성남동1,,성남동 1-97,66097.1,1213.0,착공,24.02.20.,False,,,진행,7,1_공사중,대전광역시 동구 성남동 1-97,36.34535246939657,127.43709783272936,parcel,
3,재개발,동구,성남동3,,성남동 35-5,159786.9,2856.0,조합설립인가,21.01.26.,False,,,진행,4,4_조합설립,대전광역시 동구 성남동 35-5,36.34327922153284,127.43739161430597,parcel,
4,재개발,동구,중앙1,,소제동 299-264,23362.0,558.0,관리처분인가,24.02.21.,True,대전역세권,,진행,6,2_관리처분,대전광역시 동구 소제동 299-264,36.33549908055126,127.43559877905929,parcel,
5,재개발,동구,대전역복합2,,소제동 291-1,101772.0,1184.0,사업시행인가,24.03.19.,True,대전역세권,,진행,5,3_사업시행,대전광역시 동구 소제동 291-1,36.33377495856742,127.43682584310002,parcel,
6,재개발,동구,대전역복합3,,정동 1-208,35490.0,,준공,19.04.18.,True,대전역세권,,완료,8,0_완료,대전광역시 동구 정동 1-208,36.3355609840621,127.43168811722359,parcel,
7,재개발,동구,대전역삼성4,,삼성동 80-100,139056.0,1350.0,관리처분인가,24.12.18.,True,대전역세권,,진행,6,2_관리처분,대전광역시 동구 삼성동 80-100,36.338067756066415,127.43592776843666,parcel,
8,재개발,동구,신안1,,신안동 281-12,41184.0,774.0,추진위원회,22.04.11.,True,대전역세권,,진행,3,5_초기,대전광역시 동구 신안동 281-12,36.32947678001551,127.43780318302225,parcel,
9,재개발,동구,삼성1,,삼성동 279-1,73390.0,1523.0,사업시행인가,25.02.14.,False,,,진행,5,3_사업시행,대전광역시 동구 삼성동 279-1,36.33445569889363,127.42515152583765,parcel,
10,재개발,동구,삼성3,,삼성동 361-3,126526.8,1880.0,추진위원회,22.04.11.,False,,,진행,3,5_초기,대전광역시 동구 삼성동 361-3,36.34048954385163,127.42050187903733,parcel,
11,재개발,동구,삼성5,,삼성동 387-7,74700.7,1134.0,조합설립인가,23.03.28.,False,,,진행,4,4_조합설립,대전광역시 동구 삼성동 387-7,36.34341617694223,127.41725378330177,parcel,
12,재개발,동구,삼성6,,삼성동 295-2,14995.0,334.0,조합설립인가,24.03.18.,False,,,진행,4,4_조합설립,대전광역시 동구 삼성동 295-2,36.338914550975915,127.42978227451826,parcel,
13,재개발,동구,삼성7,,삼성동 373-7,60115.0,879.0,추진위원회,24.12.30.,False,,,진행,3,5_초기,대전광역시 동구 삼성동 373-7,36.343493785856055,127.4197734260697,parcel,
14,재개발,동구,가양동1,,가양동 176-14,107468.0,1546.0,조합설립인가,23.12.28.,False,,,진행,4,4_조합설립,대전광역시 동구 가양동 176-14,36.34195231442372,127.4460932455373,parcel,
15,재개발,동구,자양동2,,자양동 209,63567.0,1004.0,조합설립인가,25.08.01.,False,,,진행,4,4_조합설립,대전광역시 동구 자양동 209,36.34269016989132,127.45018585943026,parcel,
16,재개발,동구,판암2,,판암동 385-1,28810.0,514.0,추진위원회,25.03.24.,False,,,진행,3,5_초기,대전광역시 동구 판암동 385-1,36.31490474836225,127.45760236348013,parcel,
17,재개발,동구,판암6,,판암동 565-1,73742.0,1037.0,추진위원회,24.09.13.,True,신흥,,진행,3,5_초기,대전광역시 동구 판암동 565-1,36.32025217816543,127.45115109912544,parcel,
