학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,최근접_사업,최근접_거리m,영향권
초,공립,대덕구,대전대화초등학교,대전광역시 대덕구 대화로 242-36. 대전대화초등학교 (대화동),본교,109,127.4112898,36.3625262,대화동,소라,175.06866523884545,1km 이내
초,공립,대덕구,대전동도초등학교,대전광역시 대덕구 한남로150번길 27(오정동. 동도초등학교),본교,73,127.4124032,36.3478144,오정동,삼성5,653.7976603183762,1km 이내
초,공립,대덕구,대전동산초등학교,대전광역시 대덕구 동산초교로63번길 50. 대전동산초등학교 (오정동),본교,226,127.4214961,36.3505625,오정동,오정동1,112.28177111656679,1km 이내
초,공립,대덕구,대전매봉초등학교,대전광역시 대덕구 선비마을로 155(송촌동. 대전매봉초등학교),본교,465,127.4372248,36.3695187,송촌동,법동2,976.9612643626383,1km 이내
초,공립,대덕구,대전목상초등학교,대전광역시 대덕구 대덕대로1486번길 117(목상동. 대전목상초등학교),본교,161,127.4126245,36.4457981,목상동,덕암동1,753.2518583028506,1km 이내
초,공립,대덕구,대전법동초등학교,대전광역시 대덕구 계족로664번길 74(법동.대전법동초등학교),본교,289,127.4325902,36.3693345,법2동,법동2,631.799847852061,1km 이내
초,공립,대덕구,대전비래초등학교,대전광역시 대덕구 우암로492번길 65(비래동. 대전비래초등학교),본교,217,127.4512659,36.3616260,비래동,비래동2,183.8883500728251,1km 이내
초,공립,대덕구,대전새여울초등학교,대전광역시 대덕구 대덕대로 1585. 대전새여울초등학교,본교,881,127.4224192,36.4517219,석봉동,덕암동1,539.7005480089683,1km 이내
초,공립,대덕구,대전석봉초등학교,대전광역시 대덕구 신탄진남로 20. 대전석봉초등학교 (신탄진동. 대전석봉초등학교),본교,84,127.4347803,36.4470316,신탄진동,신탄진동1,333.551369631059,1km 이내
초,공립,대덕구,대전송촌초등학교,대전광역시 대덕구 동춘당로54번길 35(송촌동. 대전송촌초등학교),본교,531,127.4440778,36.3648913,송촌동,비래동2,777.9606624452204,1km 이내
초,공립,대덕구,대전양지초등학교,대전광역시 대덕구 쌍청당로 45(법동),본교,178,127.4334862,36.3656527,법2동,중리주공2,859.7746883294967,1km 이내
초,공립,대덕구,대전중리초등학교,대전광역시 대덕구 중리북로 20(법동),본교,360,127.4272541,36.3675607,법1동,중리주공2,291.6583235655971,1km 이내
초,공립,대덕구,대전중원초등학교,대전광역시 대덕구 중리로64번길 45(중리동),본교,228,127.4275356,36.3656424,중리동,중리주공2,488.1592911069332,1km 이내
초,공립,대덕구,대전화정초등학교,대전광역시 대덕구 한밭대로1024번길 20(오정동. 화정초등학교),본교,152,127.4118971,36.3573291,오정동,소라,619.4644064113331,1km 이내
초,공립,대덕구,새일초등학교,대전광역시 대덕구 덕암로125번길 15(덕암동.새일초등학교),본교,149,127.4195224,36.4317546,덕암동,덕암동1,1697.1872436969152,1.5km 초과
초,공립,대덕구,신탄진용정초등학교,대전광역시 대덕구 대청로 65. 신탄진용정초등학교 (신탄진동),본교,384,127.4358676,36.4540033,신탄진동,신탄진동1,926.0925215879313,1km 이내
초,공립,대덕구,신탄진초등학교,대전광역시 대덕구 석봉로3번길 50(석봉동. 신탄진초등학교),본교,263,127.4223133,36.4494593,석봉동,덕암동1,299.4887910622718,1km 이내
초,공립,대덕구,와동초등학교,대전광역시 대덕구 신탄진로 189(신대동. 와동초등학교),본교,170,127.4222878,36.3971876,회덕동,연축주공,202.16601299561754,1km 이내
초,공립,대덕구,장동초등학교,대전광역시 대덕구 장동로 223-37(장동. 대전장동초등학교),본교,38,127.4358274,36.4148625,회덕동,신대주공,2100.3259211110476,1.5km 초과
초,공립,대덕구,회덕초등학교,대전광역시 대덕구 대전로 1350(읍내동),본교,112,127.4214085,36.3744450,회덕동,법동2,546.0121122795081,1km 이내
초,공립,동구,대전가양초등학교,대전광역시 동구 가양로 61(가양동. 대전가양초등학교),본교,386,127.4405406,36.3421995,가양1동,성남동3,306.909507498922,1km 이내
초,공립,동구,대전가오초등학교,대전광역시 동구 신기로 112. 가오초등학교 (가오동),본교,456,127.4584142,36.3109093,효동,판암2,449.1292567244184,1km 이내
초,공립,동구,대전대동초등학교,대전광역시 동구 대동초등3길 21(대동. 대전대동초등학교),본교,232,127.4468997,36.3251324,대동,신흥동5,398.7516110677575,1km 이내
초,공립,동구,대전대룡초등학교,대전광역시 동구 백룡로 123(용운동. 대전대룡초등학교),본교,267,127.4558657,36.3299141,용운동,대동4·8,857.0330697613985,1km 이내
초,공립,동구,대전대암초등학교,대전광역시 동구 동부로 55-61(판암동. 대전대암초등학교),본교,91,127.4571693,36.3234310,판암2동,판암6,645.0843864298321,1km 이내
초,공립,동구,대전동광초등학교,대전광역시 동구 백룡로11번길 20. 대전동광초등학교 (자양동.대전동광초등학교),본교,112,127.4499000,36.3372049,자양동,대동4·8,597.9203099839051,1km 이내
초,공립,동구,대전동서초등학교,대전광역시 동구 동서대로 1522(삼성동. 대전동서초등학교),본교,152,127.4225243,36.3410683,삼성동,삼성3,192.50790213205718,1km 이내
초,공립,동구,대전삼성초등학교,대전광역시 동구 대전로867번길 12(삼성동),본교,126,127.4289027,36.3371425,삼성동,삼성동1,196.5513333366006,1km 이내
초,공립,동구,대전성남초등학교,대전광역시 동구 성남로32번길 5(성남동. 대전성남초등학교),본교,309,127.4295994,36.3439503,성남동,홍도동3,209.82155394259462,1km 이내
초,공립,동구,대전신흥초등학교,대전광역시 동구 동대전로46번길 76. 대전신흥초등학교 (신흥동. 대전신흥초등학교),본교,1026,127.4399239,36.3256406,신인동,신안1,466.1441426065633,1km 이내
초,공립,동구,대전용운초등학교,대전광역시 동구 용운로 204(용운동. 대전용운초등학교),본교,442,127.4637546,36.3262366,용운동,판암6,1311.639023380014,1~1.5km
초,공립,동구,대전용전초등학교,대전광역시 동구 계족로505번길 49(용전동.대전용전초등학교),본교,534,127.4303126,36.3561565,용전동,송촌동1,985.4838791392298,1km 이내
초,공립,동구,대전은어송초등학교,대전광역시 동구 대전로 396. 대전은어송초등학교 (대성동),본교,836,127.4568136,36.3024663,산내동,옥계동4,340.0724385690749,1km 이내
초,공립,동구,대전자양초등학교,대전광역시 동구 계족로 184-55.(대전자양초등학교.자양동),본교,81,127.4428747,36.3335584,자양동,대동4·8,376.99453400652607,1km 이내
초,공립,동구,대전천동초등학교,대전광역시 동구 안샘로 8(천동) 대전천동초등학교,본교,951,127.4451593,36.3161208,효동,신흥동5,659.730185855507,1km 이내
초,공립,동구,대전판암초등학교,대전광역시 동구 옥천로180번길 32(판암동),본교,285,127.4605179,36.3159027,판암1동,판암2,284.1661717268438,1km 이내
초,공립,동구,대전현암초등학교,대전광역시 동구 현암로 19. 대전현암초등학교 (삼성동),본교,113,127.4203907,36.3418691,삼성동,삼성3,153.34667950670976,1km 이내
초,공립,동구,대전흥룡초등학교,대전광역시 동구 동대전로256번길 21(가양동. 대전흥룡초등학교),본교,288,127.4480505,36.3451544,가양2동,가양동3,327.0262441270589,1km 이내
초,공립,동구,동대전초등학교,대전광역시 동구 비래서로62번길 60(가양동. 동대전초등학교),본교,401,127.4492505,36.3519283,가양2동,가양동8,103.06943601776757,1km 이내
초,공립,동구,동명초등학교,대전광역시 동구 천개동로 16(추동),본교,46,127.4742921,36.3741217,대청동,비래동2,2645.3665461741166,1.5km 초과
초,공립,동구,산내초등학교,대전광역시 동구 산내로 1292(낭월동. 산내초등학교),본교,395,127.4700311,36.2792732,산내동,옥계동2,2416.274967701872,1.5km 초과
초,공립,동구,산흥초등학교,대전광역시 동구 산내로 509(상소동. 산흥초등학교),본교,54,127.4483897,36.2289750,산내동,옥계동2,7467.662036045803,1.5km 초과
초,공립,동구,세천초등학교,대전광역시 동구 옥천로 610-12(세천동.세천초등학교),본교,47,127.4937835,36.3415266,대청동,자양동2,3914.4390233247973,1.5km 초과
초,공립,중구,대전글꽃초등학교,대전광역시 중구 계룡로918번길 97대전글꽃초등학교 (문화동),본교,770,127.4097377,36.3186639,문화1동,문화동2,142.93505765292383,1km 이내
초,공립,중구,대전대문초등학교,대전광역시 중구 송리로 11(문화동. 대전대문초등학교),본교,156,127.4004173,36.3068833,문화2동,문화동10,444.4464882900225,1km 이내
초,공립,중구,대전대신초등학교,대전광역시 중구 솔밭로16번길 17(대사동. 대전대신초등학교),본교,44,127.4208517,36.3156991,대사동,대사동4,183.27642175708428,1km 이내
초,공립,중구,대전대흥초등학교,대전광역시 중구 수도산로 12(대흥동. 대흥초등학교),본교,388,127.4258441,36.3198058,대흥동,대흥2,139.719422748729,1km 이내
