학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,slope_point,slope_300m_mean,slope_300m_max,운영상태,도심거리_km,학교밀도_2km,y_운영12
초,공립,대덕구,대전대화초등학교,대전광역시 대덕구 대화로 242-36. 대전대화초등학교 (대화동),본교,109,127.4112898,36.3625262,대화동,0.3254414498806,9.05150032043457,38.15839385986328,미운영,2.7543456270834463,12,0
초,공립,대덕구,대전동도초등학교,대전광역시 대덕구 한남로150번길 27(오정동. 동도초등학교),본교,73,127.4124032,36.3478144,오정동,0.0549559295177459,2.2289366722106934,19.471620559692383,미운영,2.5200935025906515,18,0
초,공립,대덕구,대전동산초등학교,대전광역시 대덕구 동산초교로63번길 50. 대전동산초등학교 (오정동),본교,226,127.4214961,36.3505625,오정동,0.5624848008155823,4.339044094085693,30.82232093811035,미운영,3.3196062721698802,15,0
초,공립,대덕구,대전매봉초등학교,대전광역시 대덕구 선비마을로 155(송촌동. 대전매봉초등학교),본교,465,127.4372248,36.3695187,송촌동,2.564744472503662,8.545154571533203,44.10379409790039,미운영,5.183894419284399,8,0
초,공립,대덕구,대전목상초등학교,대전광역시 대덕구 대덕대로1486번길 117(목상동. 대전목상초등학교),본교,161,127.4126245,36.4457981,목상동,7.779783248901367,3.3344955444335938,30.8430233001709,미운영,10.878147957940527,4,0
초,공립,대덕구,대전법동초등학교,대전광역시 대덕구 계족로664번길 74(법동.대전법동초등학교),본교,289,127.4325902,36.3693345,법2동,2.56742000579834,3.653498649597168,28.00218391418457,미운영,4.798516920250096,8,0
초,공립,대덕구,대전비래초등학교,대전광역시 대덕구 우암로492번길 65(비래동. 대전비래초등학교),본교,217,127.4512659,36.361626,비래동,1.7029379606246948,6.901233673095703,30.34509658813477,미운영,6.118344981953792,7,0
초,공립,대덕구,대전새여울초등학교,대전광역시 대덕구 대덕대로 1585. 대전새여울초등학교,본교,881,127.4224192,36.4517219,석봉동,0.3143146634101867,1.6919817924499512,16.4032039642334,미운영,11.741927826752244,4,0
초,공립,대덕구,대전석봉초등학교,대전광역시 대덕구 신탄진남로 20. 대전석봉초등학교 (신탄진동. 대전석봉초등학교),본교,84,127.4347803,36.4470316,신탄진동,1.0606247186660769,6.676281929016113,35.19583511352539,미운영,11.62826687410248,4,0
초,공립,대덕구,대전송촌초등학교,대전광역시 대덕구 동춘당로54번길 35(송촌동. 대전송촌초등학교),본교,531,127.4440778,36.3648913,송촌동,2.742699384689331,4.523516654968262,31.147436141967773,미운영,5.581712799476618,8,0
초,공립,대덕구,대전양지초등학교,대전광역시 대덕구 쌍청당로 45(법동),본교,178,127.4334862,36.3656527,법2동,1.457316756248474,3.349184036254883,14.60917854309082,미운영,4.709365957350681,9,0
초,공립,대덕구,대전중리초등학교,대전광역시 대덕구 중리북로 20(법동),본교,360,127.4272541,36.3675607,법1동,0.3454824388027191,3.4179880619049072,32.50436019897461,미운영,4.282119729043378,10,0
초,공립,대덕구,대전중원초등학교,대전광역시 대덕구 중리로64번길 45(중리동),본교,228,127.4275356,36.3656424,중리동,0.967293620109558,3.2381393909454346,25.177608489990234,미운영,4.215035763525499,10,0
초,공립,대덕구,대전화정초등학교,대전광역시 대덕구 한밭대로1024번길 20(오정동. 화정초등학교),본교,152,127.4118971,36.3573291,오정동,0.961167573928833,2.0633904933929443,33.16039276123047,미운영,2.5755137501321737,13,0
초,공립,대덕구,새일초등학교,대전광역시 대덕구 덕암로125번길 15(덕암동.새일초등학교),본교,149,127.4195224,36.4317546,덕암동,3.116074085235596,4.806055068969727,30.69787979125977,미운영,9.55497976923291,2,0
초,공립,대덕구,신탄진용정초등학교,대전광역시 대덕구 대청로 65. 신탄진용정초등학교 (신탄진동),본교,384,127.4358676,36.4540033,신탄진동,2.695305109024048,3.877012252807617,29.737455368041992,명목,12.380600396498354,3,0
초,공립,대덕구,신탄진초등학교,대전광역시 대덕구 석봉로3번길 50(석봉동. 신탄진초등학교),본교,263,127.4223133,36.4494593,석봉동,0.2925621271133423,2.1846024990081787,25.09095764160156,미운영,11.499146770178752,5,0
초,공립,대덕구,와동초등학교,대전광역시 대덕구 신탄진로 189(신대동. 와동초등학교),본교,170,127.4222878,36.3971876,회덕동,0.6883325576782227,4.895845413208008,31.84652137756348,미운영,6.198617968272722,1,0
초,공립,대덕구,장동초등학교,대전광역시 대덕구 장동로 223-37(장동. 대전장동초등학교),본교,38,127.4358274,36.4148625,회덕동,3.5235767364501958,14.288289070129396,30.325288772583008,운영,8.504093517907316,0,1
초,공립,대덕구,회덕초등학교,대전광역시 대덕구 대전로 1350(읍내동),본교,112,127.4214085,36.374445,회덕동,0.1013856306672096,3.9834043979644775,45.497318267822266,미운영,4.2517577908028,6,0
초,공립,동구,대전가양초등학교,대전광역시 동구 가양로 61(가양동. 대전가양초등학교),본교,386,127.4405406,36.3421995,가양1동,0.9788085222244264,1.7006466388702393,18.743396759033203,미운영,5.11024097324962,14,0
초,공립,동구,대전가오초등학교,대전광역시 동구 신기로 112. 가오초등학교 (가오동),본교,456,127.4584142,36.3109093,효동,0.4327628016471863,3.766094446182251,28.996416091918945,미운영,7.949504500683802,8,0
