사업명,구분,구,동,추진현황,통학영향_임박도,세대수,예상_초등생,예상_중등생,1km_학교수,1km_학생수,1.5km_학교수,1.5km_학생수
대동4·8,재개발,동구,대동,사업시행인가,3_사업시행,2213.0,398.0,177.0,5,1021,5,1021
성남동1,재개발,동구,성남동,착공,1_공사중,1213.0,218.0,97.0,0,0,0,0
성남동3,재개발,동구,성남동,조합설립인가,4_조합설립,2856.0,514.0,228.0,1,386,1,386
중앙1,재개발,동구,소제동,관리처분인가,2_관리처분,558.0,100.0,45.0,0,0,0,0
대전역복합2,재개발,동구,소제동,사업시행인가,3_사업시행,1184.0,213.0,95.0,0,0,0,0
대전역삼성4,재개발,동구,삼성동,관리처분인가,2_관리처분,1350.0,243.0,108.0,1,184,1,184
신안1,재개발,동구,신안동,추진위원회,5_초기,774.0,139.0,62.0,1,1026,1,1026
삼성1,재개발,동구,삼성동,사업시행인가,3_사업시행,1523.0,274.0,122.0,2,322,2,322
삼성3,재개발,동구,삼성동,추진위원회,5_초기,1880.0,338.0,150.0,3,541,3,541
삼성5,재개발,동구,삼성동,조합설립인가,4_조합설립,1134.0,204.0,91.0,1,73,1,73
삼성6,재개발,동구,삼성동,조합설립인가,4_조합설립,334.0,60.0,27.0,0,0,0,0
삼성7,재개발,동구,삼성동,추진위원회,5_초기,879.0,158.0,70.0,0,0,0,0
가양동1,재개발,동구,가양동,조합설립인가,4_조합설립,1546.0,278.0,124.0,0,0,0,0
자양동2,재개발,동구,자양동,조합설립인가,4_조합설립,1004.0,181.0,80.0,1,140,1,140
판암2,재개발,동구,판암동,추진위원회,5_초기,514.0,93.0,41.0,3,812,4,1217
판암6,재개발,동구,판암동,추진위원회,5_초기,1037.0,187.0,83.0,1,91,2,533
신흥동5,재개발,동구,신흥동,구역지정,5_초기,1437.0,259.0,115.0,3,1975,3,1975
용두동3,재개발,중구,용두동,조합설립인가,4_조합설립,1991.0,358.0,159.0,4,2626,4,2626
대사동1,재개발,중구,대사동,사업시행인가,3_사업시행,1080.0,194.0,86.0,0,0,0,0
대사동3,재개발,중구,대사동,,9_미정,,,,0,0,0,0
대사동4,재개발,중구,대사동,,9_미정,,,,1,44,1,44
대흥동1,재개발,중구,대흥동,조합설립인가,4_조합설립,862.0,155.0,69.0,1,658,1,658
대흥2,재개발,중구,대흥동,착공,1_공사중,1278.0,230.0,102.0,2,687,2,687
문화동5,재개발,중구,문화동,,9_미정,,,,2,332,2,332
문화동7,재개발,중구,문화동,,9_미정,,,,1,267,1,267
문화동8,재개발,중구,문화동,착공,1_공사중,1746.0,314.0,140.0,0,0,0,0
문화2,재개발,중구,문화동,착공,1_공사중,749.0,135.0,60.0,0,0,0,0
부사동4,재개발,중구,부사동,사업시행인가,3_사업시행,826.0,149.0,66.0,1,115,1,115
부사동5,재개발,중구,부사동,,9_미정,,,,2,320,2,320
산성동1,재개발,중구,산성동,조합설립인가,4_조합설립,968.0,174.0,77.0,1,190,1,190
산성동2,재개발,중구,산성동,사업시행인가,3_사업시행,1665.0,300.0,133.0,0,0,0,0
옥계동2,재개발,중구,옥계동,조합설립인가,4_조합설립,1508.0,271.0,121.0,0,0,0,0
용두동2,재개발,중구,용두동,관리처분인가,2_관리처분,794.0,143.0,64.0,3,1689,3,1689
