미래시나리오순위,학교명,학교급,구,동,학생수,도시개발영향점수,도시개발영향순위,적격성점수,적격성순위,미래시나리오점수,현행운영여부,영향사업수,영향사업목록,lat,lon
1,산흥초등학교,초,동구,산내동,54,0.0,126,0.9941,1,0.6959,Y,0,,36.228975,127.4483897
2,기성초등학교길헌분교장,초,서구,기성동,7,0.0,126,0.9764,2,0.6835,Y,0,,36.241768,127.3164705
3,남선초등학교,초,유성구,진잠동,44,0.0,126,0.9576,3,0.6703,Y,0,,36.2873073,127.2646541
4,기성초등학교,초,서구,기성동,33,0.0,126,0.942,4,0.6594,Y,0,,36.2487568,127.3380289
5,기성중학교,중,서구,기성동,29,0.0,126,0.9379,5,0.6565,,0,,36.2499908,127.3411563
6,대전둔곡중학교,중,유성구,구즉동,79,0.0,126,0.9268,6,0.6488,,0,,36.4534382,127.3646634
7,세천초등학교,초,동구,대청동,47,0.0,126,0.895,7,0.6265,Y,0,,36.3415266,127.4937835
8,산서초등학교,초,중구,산성동,57,0.0,126,0.8869,8,0.6208,Y,0,,36.2668849,127.4093374
10,대전둔곡초등학교,초,유성구,구즉동,428,0.0,126,0.8831,9,0.6182,,0,,36.4534382,127.3646634
12,산내초등학교,초,동구,산내동,395,0.0,126,0.8755,10,0.6128,Y,0,,36.2792732,127.4700311
14,장동초등학교,초,대덕구,회덕동,38,0.0,126,0.8679,11,0.6075,Y,0,,36.4148625,127.4358274
15,동명초등학교,초,동구,대청동,46,0.0,126,0.8663,12,0.6064,Y,0,,36.3741217,127.4742921
11,신탄중앙중학교,중,대덕구,덕암동,265,0.0413,114,0.8605,13,0.6147,,2,덕암동1(5_초기); 신탄진동1(6_입안),36.4413849,127.4243139
13,신탄진중학교,중,대덕구,석봉동,409,0.0413,114,0.855,14,0.6109,,2,덕암동1(5_초기); 신탄진동1(6_입안),36.4475861,127.4225837
16,대전자운중학교,중,유성구,신성동,98,0.0,126,0.8495,15,0.5946,,0,,36.4118922,127.3382419
17,신탄진용정초등학교,초,대덕구,신탄진동,384,0.0265,120,0.8306,16,0.5894,Y,1,신탄진동1(6_입안),36.4540033,127.4358676
18,대전석봉초등학교,초,대덕구,신탄진동,84,0.0265,120,0.8274,17,0.5871,,1,신탄진동1(6_입안),36.4470316,127.4347803
19,새일초등학교,초,대덕구,덕암동,149,0.0,126,0.826,18,0.5782,,0,,36.4317546,127.4195224
21,대전자운초등학교,초,유성구,신성동,357,0.0,126,0.8176,19,0.5723,,0,,36.4123998,127.3387617
22,대전목상초등학교,초,대덕구,목상동,161,0.0343,118,0.8021,20,0.5718,,1,덕암동1(5_초기),36.4457981,127.4126245
26,회덕중학교,중,대덕구,회덕동,111,0.0051,124,0.7964,21,0.559,,2,연축주공(9_미정); 신대주공(6_입안),36.4009441,127.4256826
32,대전덕명중학교,중,유성구,학하동,494,0.0,126,0.7868,22,0.5508,,0,,36.3458099,127.3027397
33,대전송강중학교,중,유성구,구즉동,292,0.0,126,0.7857,23,0.55,,0,,36.4376479,127.3816676
36,와동초등학교,초,대덕구,회덕동,170,0.0051,124,0.7782,24,0.5463,,2,연축주공(9_미정); 신대주공(6_입안),36.3971876,127.4222878
24,신탄진초등학교,초,대덕구,석봉동,263,0.0607,106,0.7773,25,0.5623,,2,덕암동1(5_초기); 신탄진동1(6_입안),36.4494593,127.4223133
37,구즉초등학교,초,유성구,구즉동,418,0.0,126,0.777,26,0.5439,Y,0,,36.4407059,127.3822122
38,성덕중학교,중,유성구,신성동,257,0.0,126,0.7749,27,0.5424,,0,,36.3866583,127.3448873
40,진잠중학교,중,유성구,진잠동,209,0.0,126,0.769,28,0.5383,,0,,36.2969898,127.3184051
42,학하초등학교,초,유성구,학하동,156,0.0,126,0.766,29,0.5362,,0,,36.3343471,127.3122319
29,대전은어송중학교,중,동구,산내동,733,0.0647,102,0.7625,30,0.5532,,3,옥계동2(4_조합설립); 옥계동3(6_입안); 옥계동4(6_입안),36.3004121,127.4609474
