학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,최근접_사업,최근접_거리m,영향권,_원_외곽도m,_원_학생수,_원_학교밀도,적격성_외곽도,적격성_학교규모,적격성_학교밀도,적격성_시내버스접근성,적격성_현재운영,적격성점수,적격성순위,현행운영여부
초,공립,동구,산흥초등학교,대전광역시 동구 산내로 509(상소동. 산흥초등학교),본교,54,127.4483897,36.228975,산내동,옥계동2,7467.662036045803,1.5km 초과,14581.075692340328,54.0,0,1.0,0.9705698184095178,1.0,1.0,1.0,0.9926,1,Y
초,공립,유성구,남선초등학교,대전광역시 유성구 계백로93번길 277-29(송정동. 남선초등학교),본교,44,127.2646541,36.2873073,진잠동,정림동1,9558.46248761252,1.5km 초과,12847.407360342468,44.0,0,0.8784100996564105,0.9768315591734502,1.0,0.8784100996564105,1.0,0.9456,2,Y
초,공립,서구,기성초등학교,대전광역시 서구 기성초교길 42(매노동),본교,33,127.3380289,36.2487568,기성동,정림동1,7077.843471450976,1.5km 초과,11995.724712846366,33.0,0,0.8186777931234309,0.9837194740137758,1.0,0.8186777931234309,1.0,0.9234,3,Y
초,공립,동구,세천초등학교,대전광역시 동구 옥천로 610-12(세천동.세천초등학교),본교,47,127.4937835,36.3415266,대청동,자양동2,3914.439023324797,1.5km 초과,9806.568850928797,47.0,0,0.6651425187146286,0.9749530369442705,1.0,0.6651425187146286,1.0,0.8598,4,Y
초,공립,대덕구,신탄진용정초등학교,대전광역시 대덕구 대청로 65. 신탄진용정초등학교 (신탄진동),본교,384,127.4358676,36.4540033,신탄진동,신탄진동1,926.0925215879312,1km 이내,12405.24465415057,384.0,3,0.84739925496989,0.7639323731997495,0.85,0.84739925496989,1.0,0.8499,5,Y
초,공립,중구,산서초등학교,대전광역시 중구 남달미로 87(목달동. 산서초등학교),본교,57,127.4093374,36.2668849,산성동,문화동10,4538.284394431767,1.5km 초과,9474.53404867456,57.0,0,0.6418554356136922,0.9686912961803381,1.0,0.6418554356136922,1.0,0.8489,6,Y
초,공립,동구,산내초등학교,대전광역시 동구 산내로 1292(낭월동. 산내초등학교),본교,395,127.4700311,36.2792732,산내동,옥계동2,2416.274967701872,1.5km 초과,10945.73083023324,395.0,0,0.7450370342816376,0.7570444583594239,1.0,0.7450370342816376,1.0,0.8373,7,Y
초,공립,대덕구,장동초등학교,대전광역시 대덕구 장동로 223-37(장동. 대전장동초등학교),본교,38,127.4358274,36.4148625,회덕동,신대주공,2100.325921111048,1.5km 초과,8517.352410405954,38.0,0,0.5747240138418735,0.9805886036318097,1.0,0.5747240138418735,1.0,0.825,8,Y
초,공립,동구,동명초등학교,대전광역시 동구 천개동로 16(추동),본교,46,127.4742921,36.3741217,대청동,비래동2,2645.3665461741166,1.5km 초과,8445.761826349033,46.0,0,0.5697030465551324,0.9755792110206637,1.0,0.5697030465551324,1.0,0.8218,9,Y
초,공립,서구,기성초등학교길헌분교장,대전광역시 서구 당고개길 48(평촌동. 기성초등학교 길헌분교장),분교장,7,127.3164705,36.241768,기성동,정림동1,8662.578061985647,1.5km 초과,13490.210682017789,7.0,0,0.9234927664967061,1.0,1.0,0.9234927664967061,0.0,0.8194,10,
초,공립,유성구,구즉초등학교,대전광역시 유성구 구룡달전로 34(봉산동),본교,418,127.3822122,36.4407059,구즉동,덕암동1,3536.565194868779,1.5km 초과,10064.39512908213,418.0,3,0.683225026705356,0.7426424546023795,0.85,0.683225026705356,1.0,0.779,11,Y
중,공립,서구,기성중학교,대전광역시 서구 장안로 54.(흑석동),본교,29,127.3411563,36.2499908,기성동,정림동1,6847.371381948651,1.5km 초과,11770.816531107934,29.0,0,0.8029039782020266,0.9862241703193487,1.0,0.8029039782020266,0.0,0.7677,12,
