학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,최근접_사업,최근접_거리m,영향권,_원_도심거리m,_원_학생수,_원_학교밀도,적격성_도심거리,적격성_학교규모,적격성_학교밀도,적격성점수,전체순위,적격성순위,현행운영여부,미운영순위
초,공립,대덕구,대전대화초등학교,대전광역시 대덕구 대화로 242-36. 대전대화초등학교 (대화동),본교,109,127.4112898,36.3625262,대화동,소라,175.06866523884543,1km 이내,2754.3456270834463,109.0,12,0.1721798345017433,0.9361302442078898,0.4,0.4389,191,191,,176.0
초,공립,대덕구,대전동도초등학교,대전광역시 대덕구 한남로150번길 27(오정동. 동도초등학교),본교,73,127.4124032,36.3478144,오정동,삼성5,653.7976603183762,1km 이내,2520.0935025906515,73.0,18,0.15586374870265562,0.9586725109580463,0.09999999999999998,0.2885,227,227,,212.0
초,공립,대덕구,대전동산초등학교,대전광역시 대덕구 동산초교로63번길 50. 대전동산초등학교 (오정동),본교,226,127.4214961,36.3505625,오정동,오정동1,112.2817711165668,1km 이내,3319.6062721698804,226.0,15,0.21155126476751906,0.862867877269881,0.25,0.361,214,214,,199.0
초,공립,대덕구,대전매봉초등학교,대전광역시 대덕구 선비마을로 155(송촌동. 대전매봉초등학교),본교,465,127.4372248,36.3695187,송촌동,법동2,976.9612643626384,1km 이내,5183.894419284399,465.0,8,0.3414023191748325,0.7132122730118973,0.6,0.5451,133,133,,120.0
초,공립,대덕구,대전목상초등학교,대전광역시 대덕구 대덕대로1486번길 117(목상동. 대전목상초등학교),본교,161,127.4126245,36.4457981,목상동,덕암동1,753.2518583028506,1km 이내,10878.147957940528,161.0,4,0.738017417115298,0.9035691922354414,0.8,0.8021,20,20,,10.0
초,공립,대덕구,대전법동초등학교,대전광역시 대덕구 계족로664번길 74(법동.대전법동초등학교),본교,289,127.4325902,36.3693345,법2동,법동2,631.799847852061,1km 이내,4798.516920250096,289.0,8,0.31456007664279123,0.823418910457107,0.6,0.5591,115,115,,102.0
초,공립,대덕구,대전비래초등학교,대전광역시 대덕구 우암로492번길 65(비래동. 대전비래초등학교),본교,217,127.4512659,36.361626,비래동,비래동2,183.8883500728251,1km 이내,6118.344981953792,217.0,7,0.40648849753300786,0.8685034439574202,0.65,0.6206,83,83,,70.0
초,공립,대덕구,대전새여울초등학교,대전광역시 대덕구 대덕대로 1585. 대전새여울초등학교,본교,881,127.4224192,36.4517219,석봉동,덕암동1,539.7005480089683,1km 이내,11741.927826752244,881.0,4,0.7981812533305386,0.45272385723231057,0.8,0.73,37,37,,26.0
초,공립,대덕구,대전석봉초등학교,대전광역시 대덕구 신탄진남로 20. 대전석봉초등학교 (신탄진동. 대전석봉초등학교),본교,84,127.4347803,36.4470316,신탄진동,신탄진동1,333.551369631059,1km 이내,11628.266874102479,84.0,4,0.7902645616059492,0.9517845961177207,0.8,0.8274,17,17,,7.0
초,공립,대덕구,대전송촌초등학교,대전광역시 대덕구 동춘당로54번길 35(송촌동. 대전송촌초등학교),본교,531,127.4440778,36.3648913,송촌동,비래동2,777.9606624452204,1km 이내,5581.712799476618,531.0,8,0.3691110916682489,0.6718847839699437,0.6,0.5451,133,133,,120.0
초,공립,대덕구,대전양지초등학교,대전광역시 대덕구 쌍청당로 45(법동),본교,178,127.4334862,36.3656527,법2동,중리주공2,859.7746883294967,1km 이내,4709.365957350681,178.0,9,0.30835055020674446,0.8929242329367564,0.55,0.5461,132,132,,119.0
초,공립,대덕구,대전중리초등학교,대전광역시 대덕구 중리북로 20(법동),본교,360,127.4272541,36.3675607,법1동,중리주공2,291.6583235655971,1km 이내,4282.119729043378,360.0,10,0.278592074660398,0.7789605510331872,0.5,0.4894,171,171,,156.0
초,공립,대덕구,대전중원초등학교,대전광역시 대덕구 중리로64번길 45(중리동),본교,228,127.4275356,36.3656424,중리동,중리주공2,488.1592911069332,1km 이내,4215.0357635254995,228.0,10,0.2739195546587003,0.8616155291170946,0.5,0.5045,159,159,,145.0
초,공립,대덕구,대전화정초등학교,대전광역시 대덕구 한밭대로1024번길 20(오정동. 화정초등학교),본교,152,127.4118971,36.3573291,오정동,소라,619.4644064113331,1km 이내,2575.5137501321738,152.0,13,0.15972386956965748,0.9092047589229806,0.35,0.4048,204,204,,189.0
초,공립,대덕구,새일초등학교,대전광역시 대덕구 덕암로125번길 15(덕암동.새일초등학교),본교,149,127.4195224,36.4317546,덕암동,덕암동1,1697.1872436969152,1.5km 초과,9554.97976923291,149.0,2,0.6458563503146384,0.9110832811521603,0.9,0.826,18,18,,8.0
초,공립,대덕구,신탄진용정초등학교,대전광역시 대덕구 대청로 65. 신탄진용정초등학교 (신탄진동),본교,384,127.4358676,36.4540033,신탄진동,신탄진동1,926.0925215879312,1km 이내,12380.600396498354,384.0,3,0.8426659574418213,0.7639323731997495,0.85,0.8306,16,16,Y,
