학교명,학교급,구,학생수합계,공구,공구_구간,거리m,공사착공,공사준공,공사기간개월,특이공정
대전대화초등학교,초,대덕구,109,3,오문창순대국밥~수정타운아파트,481.4,2025-09-15,2028-07-14,34,"상수도 도수관로 이설, 한밭대교 보강"
대전법동초등학교,초,대덕구,289,1,연축지구~대덕경찰서,123.0,2024-12-06,2027-03-07,27,"본선, 기지 입출고선"
대전양지초등학교,초,대덕구,178,1,연축지구~대덕경찰서,186.5,2024-12-06,2027-03-07,27,"본선, 기지 입출고선"
대전양지초등학교,초,대덕구,178,2,대덕경찰서~한전 대전본부,493.0,2024-12-26,2027-06-25,30,"본선, 지선 연결선"
대전중리초등학교,초,대덕구,360,1,연축지구~대덕경찰서,363.4,2024-12-06,2027-03-07,27,"본선, 기지 입출고선"
대전중원초등학교,초,대덕구,228,1,연축지구~대덕경찰서,347.0,2024-12-06,2027-03-07,27,"본선, 기지 입출고선"
대전화정초등학교,초,대덕구,152,3,오문창순대국밥~수정타운아파트,97.5,2025-09-15,2028-07-14,34,"상수도 도수관로 이설, 한밭대교 보강"
와동초등학교,초,대덕구,170,1,연축지구~대덕경찰서,333.5,2024-12-06,2027-03-07,27,"본선, 기지 입출고선"
대전가양초등학교,초,동구,386,13,보문교~우송대학교,120.3,2025-02-28,2028-06-16,40,"지하화 1개소(대전역), 교량 개축(대동교)"
대전신흥초등학교,초,동구,1026,13,보문교~우송대학교,428.7,2025-02-28,2028-06-16,40,"지하화 1개소(대전역), 교량 개축(대동교)"
대전용전초등학교,초,동구,534,2,대덕경찰서~한전 대전본부,147.1,2024-12-26,2027-06-25,30,"본선, 지선 연결선"
대전용전초등학교,초,동구,534,3,오문창순대국밥~수정타운아파트,425.2,2025-09-15,2028-07-14,34,"상수도 도수관로 이설, 한밭대교 보강"
대전흥룡초등학교,초,동구,288,13,보문교~우송대학교,175.1,2025-02-28,2028-06-16,40,"지하화 1개소(대전역), 교량 개축(대동교)"
대전흥룡초등학교,초,동구,288,14,우송대학교~한전 대전본부,170.9,2025-07-31,2027-12-27,29,지하화 1개소(자양고개)
동대전초등학교,초,동구,401,2,대덕경찰서~한전 대전본부,215.8,2024-12-26,2027-06-25,30,"본선, 지선 연결선"
동대전초등학교,초,동구,401,14,우송대학교~한전 대전본부,215.8,2025-07-31,2027-12-27,29,지하화 1개소(자양고개)
대전글꽃초등학교,초,중구,770,12,버드내네거리~보문교,269.4,2025-09-01,2028-08-30,36,"지하화 2개소(서대전육교, 테미고개), 서대전 주박기지"
대전대신초등학교,초,중구,44,12,버드내네거리~보문교,170.0,2025-09-01,2028-08-30,36,"지하화 2개소(서대전육교, 테미고개), 서대전 주박기지"
대전동문초등학교,초,중구,186,12,버드내네거리~보문교,169.7,2025-09-01,2028-08-30,36,"지하화 2개소(서대전육교, 테미고개), 서대전 주박기지"
대전문창초등학교,초,중구,117,12,버드내네거리~보문교,480.0,2025-09-01,2028-08-30,36,"지하화 2개소(서대전육교, 테미고개), 서대전 주박기지"
대전문창초등학교,초,중구,117,13,보문교~우송대학교,26.4,2025-02-28,2028-06-16,40,"지하화 1개소(대전역), 교량 개축(대동교)"
대전버드내초등학교,초,중구,630,10,가수원교~도마삼거리,312.7,2025-03-07,2028-09-02,42,지하화 1개소(불티고개)
대전버드내초등학교,초,중구,630,11,도마삼거리~버드내네거리,266.8,2025-09-30,2028-09-28,36,교량 개축(유등교)
대전보운초등학교,초,중구,115,12,버드내네거리~보문교,280.5,2025-09-01,2028-08-30,36,"지하화 2개소(서대전육교, 테미고개), 서대전 주박기지"
대전보운초등학교,초,중구,115,13,보문교~우송대학교,209.8,2025-02-28,2028-06-16,40,"지하화 1개소(대전역), 교량 개축(대동교)"
대전원평초등학교,초,중구,257,11,도마삼거리~버드내네거리,461.6,2025-09-30,2028-09-28,36,교량 개축(유등교)
대전원평초등학교,초,중구,257,12,버드내네거리~보문교,484.3,2025-09-01,2028-08-30,36,"지하화 2개소(서대전육교, 테미고개), 서대전 주박기지"
대전성모초등학교,초,중구,658,12,버드내네거리~보문교,231.0,2025-09-01,2028-08-30,36,"지하화 2개소(서대전육교, 테미고개), 서대전 주박기지"
가수원초등학교,초,서구,258,8,대전시립박물관~어린이재활병원,430.7,2025-05-13,2028-05-11,36,용계교 보강
대전구봉초등학교,초,서구,586,9,어린이재활병원~가수원교,385.8,2025-07-14,2028-06-12,35,"본선, 지선 연결선, 관저 주박기지"
대전금동초등학교,초,서구,672,9,어린이재활병원~가수원교,400.1,2025-07-14,2028-06-12,35,"본선, 지선 연결선, 관저 주박기지"
대전느리울초등학교,초,서구,591,8,대전시립박물관~어린이재활병원,298.0,2025-05-13,2028-05-11,36,용계교 보강
대전느리울초등학교,초,서구,591,9,어린이재활병원~가수원교,219.7,2025-07-14,2028-06-12,35,"본선, 지선 연결선, 관저 주박기지"
대전도솔초등학교,초,서구,1141,8,대전시립박물관~어린이재활병원,59.1,2025-05-13,2028-05-11,36,용계교 보강
대전도안초등학교,초,서구,934,7,다솔아파트~대전시립박물관,257.8,2024-12-27,2027-08-26,32,교량 개축(온천교)
대전도안초등학교,초,서구,934,8,대전시립박물관~어린이재활병원,299.7,2025-05-13,2028-05-11,36,용계교 보강
대전만년초등학교,초,서구,159,5,정부청사역~국립중앙과학관,412.5,2025-07-31,2027-10-30,27,"교량 신설(탄동천교), 교량 개축(대덕대교)"
대전복수초등학교,초,서구,702,10,가수원교~도마삼거리,119.8,2025-03-07,2028-09-02,42,지하화 1개소(불티고개)
대전삼천초등학교,초,서구,631,3,오문창순대국밥~수정타운아파트,35.9,2025-09-15,2028-07-14,34,"상수도 도수관로 이설, 한밭대교 보강"
대전서원초등학교,초,서구,585,3,오문창순대국밥~수정타운아파트,405.7,2025-09-15,2028-07-14,34,"상수도 도수관로 이설, 한밭대교 보강"
대전서원초등학교,초,서구,585,4,수정타운아파트~정부청사역,400.0,2025-08-25,2028-05-23,33,정부청사 주박기지
대전선암초등학교,초,서구,401,9,어린이재활병원~가수원교,132.6,2025-07-14,2028-06-12,35,"본선, 지선 연결선, 관저 주박기지"
대전선유초등학교,초,서구,835,9,어린이재활병원~가수원교,148.6,2025-07-14,2028-06-12,35,"본선, 지선 연결선, 관저 주박기지"
