공구,공구_구간,공사착공,공사준공,공사기간개월,영향_학교수,영향_학생수,평균_거리m
1,연축지구~대덕경찰서,2024-12-06,2027-03-07,27,9,2471,262.8
2,대덕경찰서~한전 대전본부,2024-12-26,2027-06-25,30,4,1504,279.1
3,오문창순대국밥~수정타운아파트,2025-09-15,2028-07-14,34,10,6414,259.4
4,수정타운아파트~정부청사역,2025-08-25,2028-05-23,33,3,3297,284.3
5,정부청사역~국립중앙과학관,2025-07-31,2027-10-30,27,1,159,412.5
6,국립중앙과학관~다솔아파트,2025-05-20,2028-05-18,36,4,1162,294.4
7,다솔아파트~대전시립박물관,2024-12-27,2027-08-26,32,13,7083,234.1
8,대전시립박물관~어린이재활병원,2025-05-13,2028-05-11,36,6,4762,251.6
9,어린이재활병원~가수원교,2025-07-14,2028-06-12,35,11,5603,286.0
10,가수원교~도마삼거리,2025-03-07,2028-09-02,42,11,4640,258.4
11,도마삼거리~버드내네거리,2025-09-30,2028-09-28,36,3,1154,376.5
12,버드내네거리~보문교,2025-09-01,2028-08-30,36,11,3470,287.6
13,보문교~우송대학교,2025-02-28,2028-06-16,40,6,2116,221.0
14,우송대학교~한전 대전본부,2025-07-31,2027-12-27,29,3,1080,185.7
